# mesh name: boxMesh_1
# primitive scorer name: boxMesh_1
# iX, iY, iZ, total(value) [percm2], total(val^2), entry
0,3,24,0,0,0
0,3,25,0,0,0
0,3,26,0.04620324879443599,0.001242849390734165,2
0,3,27,0,0,0
0,3,28,0,0,0
0,3,29,0.008030945317157805,6.449608268717888e-05,1
0,4,0,0,0,0
0,4,1,0,0,0
0,4,2,0,0,0
0,4,3,0,0,0
0,4,4,0,0,0
0,4,5,0,0,0
0,4,6,0,0,0
0,4,7,0,0,0
0,4,8,0,0,0
0,4,9,0.005983795086401966,3.580580363604831e-05,1
0,4,10,0,0,0
0,4,11,0,0,0
0,4,12,0,0,0
0,4,13,0,0,0
0,4,14,0,0,0
0,4,15,0,0,0
0,4,16,0.01592109088582291,0.0002534811349946332,1
0,4,17,0,0,0
0,4,18,0.02560040921686638,0.0006553809520710169,1
0,4,19,0,0,0
0,4,20,0,0,0
0,4,21,0,0,0
0,4,22,0,0,0
0,4,23,0,0,0
0,4,24,0,0,0
0,4,25,0,0,0
0,4,26,0,0,0
0,4,27,0,0,0
0,4,28,0,0,0
0,4,29,0.004778099061046191,2.283023063717049e-05,1
0,5,0,0,0,0
0,5,1,0,0,0
0,5,2,0,0,0
0,5,3,0,0,0
0,5,4,0,0,0
0,5,5,0,0,0
0,5,6,0,0,0
0,5,7,0,0,0
0,5,8,0,0,0
0,5,9,0.04635346650612439,0.001126944699566641,2
0,5,10,0.006540045006759239,4.277218869043646e-05,1
0,5,11,0,0,0
0,5,12,0,0,0
0,5,13,0,0,0
0,5,14,0,0,0
0,5,15,0,0,0
0,5,16,0,0,0
0,5,17,0,0,0
0,5,18,0.01264648535989308,0.0001599335919579899,1
0,5,19,0,0,0
0,5,20,0.0001884615927029145,3.551777192411922e-08,1
0,5,21,0,0,0
0,5,22,0,0,0
0,5,23,0,0,0
0,5,24,0,0,0
0,5,25,0,0,0
0,5,26,0,0,0
0,5,27,0,0,0
0,5,28,0,0,0
0,5,29,0,0,0
0,6,0,0,0,0
0,6,1,0,0,0
0,6,2,0,0,0
0,6,3,0,0,0
0,6,4,0,0,0
0,6,5,0,0,0
0,6,6,0,0,0
0,6,7,0,0,0
0,6,8,0,0,0
0,6,9,0.02082585682524198,0.0002667820123209747,2
0,6,10,0,0,0
0,6,11,0,0,0
0,6,12,0,0,0
0,6,13,0,0,0
0,6,14,0,0,0
0,6,15,0,0,0
0,6,16,0,0,0
0,6,17,0,0,0
0,6,18,0,0,0
0,6,19,0.009124361768184614,8.325397767670904e-05,1
0,6,20,0.0268185478906115,0.0007192345109610222,1
0,6,21,0.0008982486411382977,8.068506213067982e-07,1
0,6,22,0,0,0
0,6,23,0,0,0
0,6,24,0,0,0
0,6,25,0,0,0
0,6,26,0,0,0
0,6,27,0,0,0
0,6,28,0,0,0
0,6,29,0,0,0
0,7,0,0,0,0
0,7,1,0,0,0
0,7,2,0,0,0
0,7,3,0,0,0
0,7,4,0,0,0
0,7,5,0,0,0
0,7,6,0,0,0
0,7,7,0,0,0
0,7,8,0,0,0
0,7,9,0,0,0
0,7,10,0,0,0
0,7,11,0,0,0
0,7,12,0,0,0
0,7,13,0.001587816168287417,2.521160184274936e-06,1
0,7,14,0,0,0
0,7,15,0,0,0
0,7,16,0,0,0
0,7,17,0,0,0
0,7,18,0,0,0
0,7,19,0.01011103717088784,0.0001022330726710756,1
0,7,20,0.01720601786813756,0.000296047050878669,1
0,7,21,0.01457100740502571,0.0002123142567973141,1
0,7,22,0,0,0
0,7,23,0,0,0
0,7,24,0.001503452747579743,2.260370164205078e-06,1
0,7,25,0,0,0
0,7,26,0,0,0
0,7,27,0,0,0
0,7,28,0,0,0
0,7,29,0,0,0
0,8,0,0.0115700517601905,0.0001338660977334871,1
0,8,1,0,0,0
0,8,2,0,0,0
0,8,3,0,0,0
0,8,4,0,0,0
0,8,5,0,0,0
0,8,6,0,0,0
0,8,7,0,0,0
0,8,8,0,0,0
0,8,9,0,0,0
0,8,10,0,0,0
0,8,11,0,0,0
0,8,12,0,0,0
0,8,13,0.02624740601023926,0.0006889263222663439,1
0,8,14,0,0,0
0,8,15,0,0,0
0,8,16,0,0,0
0,8,17,0,0,0
0,8,18,0,0,0
0,8,19,0,0,0
0,8,20,0.005540961109541377,3.070225001745002e-05,1
0,8,21,0,0,0
0,8,22,0,0,0
0,8,23,0,0,0
0,8,24,0.002431662439672115,5.912982220512143e-06,1
0,8,25,0.02573594416528447,0.0006623388220786399,1
0,8,26,0,0,0
0,8,27,0,0,0
0,8,28,0,0,0
0,8,29,0,0,0
0,9,0,0,0,0
0,9,1,0,0,0
0,9,2,0,0,0
0,9,3,0,0,0
0,9,4,0,0,0
0,9,5,0,0,0
0,9,6,0.0008005181506791858,6.408293095668234e-07,1
0,9,7,0,0,0
0,9,8,0,0,0
0,9,9,0,0,0
0,9,10,0.0209348990448576,0.0004382699980183798,1
0,9,11,0,0,0
0,9,12,0,0,0
0,9,13,0.01636455283108548,0.0002677985893613878,1
0,9,14,0,0,0
0,9,15,0,0,0
0,9,16,0,0,0
0,9,17,0,0,0
0,9,18,0,0,0
0,9,19,0,0,0
0,9,20,0.01864604457789064,0.0003476749784006849,1
0,9,21,0,0,0
0,9,22,0,0,0
0,9,23,0,0,0
0,9,24,0,0,0
0,9,25,0.01619510908858337,0.0002622815583911155,1
0,9,26,0,0,0
0,9,27,0,0,0
0,9,28,0,0,0
0,9,29,0,0,0
0,10,0,0,0,0
0,10,1,0,0,0
0,10,2,0,0,0
0,10,3,0.02664387737766924,0.0007098962017162748,1
0,10,4,0,0,0
0,10,5,0,0,0
0,10,6,0.02689635453779952,0.0007234138874230089,1
0,10,7,0,0,0
0,10,8,0,0,0
0,10,9,0,0,0
0,10,10,0.0253473220296494,0.0006424867340747496,1
0,10,11,0,0,0
0,10,12,0,0,0
0,10,13,0,0,0
0,10,14,0,0,0
0,10,15,0,0,0
0,10,16,0,0,0
0,10,17,0,0,0
0,10,18,0,0,0
0,10,19,0,0,0
0,10,20,0.0259953216713643,0.0006757567487977021,1
0,10,21,0,0,0
0,10,22,0,0,0
0,10,23,0,0,0
0,10,24,0,0,0
0,10,25,0,0,0
0,10,26,0,0,0
0,10,27,0,0,0
0,10,28,0,0,0
0,10,29,0,0,0
0,11,0,0,0,0
0,11,1,0,0,0
0,11,2,0.02359695399697434,0.000556816237935323,1
0,11,3,0.001350456235381559,1.823732043680933e-06,1
0,11,4,0,0,0
0,11,5,0,0,0
0,11,6,0.01998697674820961,0.0003994792395334714,1
0,11,7,0,0,0
0,11,8,0,0,0
0,11,9,0,0,0
0,11,10,0.005245775052031956,2.751815589652088e-05,1
0,11,11,0,0,0
0,11,12,0,0,0
0,11,13,0,0,0
0,11,14,0,0,0
0,11,15,0,0,0
0,11,16,0,0,0
0,11,17,0,0,0
0,11,18,0,0,0
0,11,19,0,0,0
0,11,20,0.003351605218323275,1.123325753949181e-05,1
0,11,21,0,0,0
